Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.92112322201608,0.9045635224627491
original,AnnSel,fr,-12.031690630797772,1.572246461945698
original,AnnSel,de,-12.266941094619666,1.435492408221944
original,AnnSel,es,-10.077357761286333,1.1601662278678253
original,AnnSel,zh,-9.22356939935065,1.1304101148357575
original,AnnSel,ja,-9.772061011904762,1.1723369721580261
original,AnnSel,ko,-9.466406685965401,1.1412262512597906
distractor ablation,AnnSel,en,-9.92112322201608,0.9045635224627491
distractor ablation,AnnSel,fr,-12.031690630797772,1.572246461945698
distractor ablation,AnnSel,de,-12.266941094619666,1.435492408221944
distractor ablation,AnnSel,es,-10.077357761286333,1.1601662278678253
distractor ablation,AnnSel,zh,-9.3262141504329,1.2174633683729241
distractor ablation,AnnSel,ja,-9.772061011904762,1.1723369721580261
distractor ablation,AnnSel,ko,-9.466406685965401,1.1412262512597906
amplification,AnnSel,en,-9.92112322201608,0.9045635224627491
amplification,AnnSel,fr,-12.031690630797772,1.572246461945698
amplification,AnnSel,de,-12.266941094619666,1.435492408221944
amplification,AnnSel,es,-10.077357761286333,1.1601662278678253
amplification,AnnSel,zh,-8.80478896103896,1.0116669250361996
amplification,AnnSel,ja,-9.772061011904762,1.1723369721580261
amplification,AnnSel,ko,-9.466406685965401,1.1412262512597906
feature-intervention,AnnSel,en,-9.92112322201608,0.9045635224627491
feature-intervention,AnnSel,fr,-12.031690630797772,1.572246461945698
feature-intervention,AnnSel,de,-12.266941094619666,1.435492408221944
feature-intervention,AnnSel,es,-10.077357761286333,1.1601662278678253
feature-intervention,AnnSel,zh,-9.22356939935065,1.1304101148357575
feature-intervention,AnnSel,ja,-9.772061011904762,1.1723369721580261
feature-intervention,AnnSel,ko,-9.466406685965401,1.1412262512597906
