Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.833770098948671,1.23045281836786
original,AnnSel,fr,-12.882181508967223,1.3105070538169976
original,AnnSel,de,-14.088245980210266,1.6195403258042202
original,AnnSel,es,-13.401712275819419,1.6751293889272982
original,AnnSel,zh,-12.29087188852814,2.5930704638229005
original,AnnSel,ja,-12.742468208874458,1.5214316850723157
original,AnnSel,ko,-10.23714230053899,1.6607652379991045
distractor ablation,AnnSel,en,-11.859778911564627,1.2187870343978189
distractor ablation,AnnSel,fr,-13.399443413729129,1.4294272102062142
distractor ablation,AnnSel,de,-14.400459956709955,1.6605153711545153
distractor ablation,AnnSel,es,-13.701816635745207,1.6758791291399926
distractor ablation,AnnSel,zh,-12.460561248647185,2.8422426366655342
distractor ablation,AnnSel,ja,-12.944473755411256,1.4366604459419923
distractor ablation,AnnSel,ko,-10.174458468995509,1.7161972874005123
amplification,AnnSel,en,-11.423001700680272,1.0997298968018092
amplification,AnnSel,fr,-12.375096629560915,1.232941133797931
amplification,AnnSel,de,-13.056164965986396,1.782236815026292
amplification,AnnSel,es,-11.961471861471862,1.4708957595658392
amplification,AnnSel,zh,-10.452287946428571,1.9314776908524778
amplification,AnnSel,ja,-11.770123106060607,0.6355158161374773
amplification,AnnSel,ko,-10.220536728065554,1.6791995753453666
feature-intervention,AnnSel,en,-12.073995052566483,1.2034304238858438
feature-intervention,AnnSel,fr,-13.645269016697588,1.4042165943912013
feature-intervention,AnnSel,de,-14.357081014223871,1.7005035185786301
feature-intervention,AnnSel,es,-13.588021799628942,1.5651994444816733
feature-intervention,AnnSel,zh,-13.362858495670995,2.862342908807106
feature-intervention,AnnSel,ja,-13.784368235930737,1.5286024770981903
feature-intervention,AnnSel,ko,-10.230253118627212,1.672362140012986
