Experiment,Method,Run,mean,stdev
original,AnnSel,en,-2.905625,2.415188533719281
original,AnnSel,fr,-7.5403125,4.2524857532132385
original,AnnSel,de,-8.6709375,4.660931555642345
original,AnnSel,es,-7.2640625,3.604342850725288
original,AnnSel,zh,-5.3575,2.921412264849335
original,AnnSel,ja,-6.1153125,2.7663286997789975
original,AnnSel,ko,0.0,0.0
distractor ablation,AnnSel,en,-2.905625,2.415188533719281
distractor ablation,AnnSel,fr,-7.5403125,4.2524857532132385
distractor ablation,AnnSel,de,-8.6790625,4.670699807430365
distractor ablation,AnnSel,es,-7.2640625,3.604342850725288
distractor ablation,AnnSel,zh,-5.2025,2.981690232303507
distractor ablation,AnnSel,ja,-6.0796875,2.8028854145216373
distractor ablation,AnnSel,ko,0.0,0.0
amplification,AnnSel,en,-2.66125,2.3400738004204356
amplification,AnnSel,fr,-2.4171875,3.5161777062727713
amplification,AnnSel,de,0.1690625,2.875936849856473
amplification,AnnSel,es,-4.664375,3.0306385408487397
amplification,AnnSel,zh,-1.6796875,3.0223199548632165
amplification,AnnSel,ja,2.4090625,2.9060857012046655
amplification,AnnSel,ko,0.0,0.0
feature-intervention,AnnSel,en,-3.015,2.448218791800531
feature-intervention,AnnSel,fr,-7.64125,4.25435772580197
feature-intervention,AnnSel,de,-8.753125,4.630393942064986
feature-intervention,AnnSel,es,-7.364375,3.6153111440871317
feature-intervention,AnnSel,zh,-5.29625,2.9277875110048472
feature-intervention,AnnSel,ja,-6.06,2.766136084574264
feature-intervention,AnnSel,ko,0.0,0.0
