Experiment,Method,Run,mean,stdev
original,AnnSel,en,-3.0675,2.845349408697596
original,AnnSel,fr,-6.32625,4.523416731494864
original,AnnSel,de,-8.2328125,5.065732255888804
original,AnnSel,es,-7.2565625,4.675895347117026
original,AnnSel,zh,-2.62875,3.32329003079597
original,AnnSel,ja,0.0,0.0
original,AnnSel,ko,-9.295625,3.0711503655064667
distractor ablation,AnnSel,en,-3.0675,2.845349408697596
distractor ablation,AnnSel,fr,-6.32625,4.523416731494864
distractor ablation,AnnSel,de,-8.2328125,5.065732255888804
distractor ablation,AnnSel,es,-7.2565625,4.675895347117026
distractor ablation,AnnSel,zh,-2.62875,3.32329003079597
distractor ablation,AnnSel,ja,0.0175,0.14215601757693316
distractor ablation,AnnSel,ko,-9.295625,3.0711503655064667
amplification,AnnSel,en,-3.0675,2.845349408697596
amplification,AnnSel,fr,-6.32625,4.523416731494864
amplification,AnnSel,de,-8.2328125,5.065732255888804
amplification,AnnSel,es,-7.2565625,4.675895347117026
amplification,AnnSel,zh,-2.62875,3.32329003079597
amplification,AnnSel,ja,0.021875,0.1539604989186276
amplification,AnnSel,ko,-9.295625,3.0711503655064667
feature-intervention,AnnSel,en,-6.8503125,3.1375892094394153
feature-intervention,AnnSel,fr,-11.720625,4.805490640253147
feature-intervention,AnnSel,de,-12.60375,5.071929505408004
feature-intervention,AnnSel,es,-11.86875,4.540561010119362
feature-intervention,AnnSel,zh,-3.8275,4.23698122997752
feature-intervention,AnnSel,ja,0.021875,0.1539604989186276
feature-intervention,AnnSel,ko,-12.7375,3.527601303945212
