Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.833770098948671,1.23045281836786
original,AnnSel,fr,-12.882181508967223,1.3105070538169976
original,AnnSel,de,-14.088245980210266,1.6195403258042202
original,AnnSel,es,-13.401712275819419,1.6751293889272982
original,AnnSel,zh,-12.29087188852814,2.5930704638229005
original,AnnSel,ja,-12.742468208874458,1.5214316850723157
original,AnnSel,ko,-10.23714230053899,1.6607652379991045
distractor ablation,AnnSel,en,-11.859778911564627,1.2187870343978189
distractor ablation,AnnSel,fr,-13.401229128014844,1.4280080282354306
distractor ablation,AnnSel,de,-14.400459956709955,1.6605153711545153
distractor ablation,AnnSel,es,-13.702411873840445,1.6755562170857239
distractor ablation,AnnSel,zh,-12.460307596049784,2.8436365058287785
distractor ablation,AnnSel,ja,-12.944808576839828,1.4375989716340438
distractor ablation,AnnSel,ko,-10.174458468995509,1.7161972874005123
amplification,AnnSel,en,-11.422646103896103,1.1003150671819129
amplification,AnnSel,fr,-12.383468614718614,1.243181210885587
amplification,AnnSel,de,-13.051604050711193,1.7533785348903919
amplification,AnnSel,es,-11.97486471861472,1.4889445977276394
amplification,AnnSel,zh,-10.419473755411255,1.908092362668747
amplification,AnnSel,ja,-11.77267316017316,0.6272950646929655
amplification,AnnSel,ko,-10.220536728065554,1.6791995753453666
feature-intervention,AnnSel,en,-12.073995052566483,1.2034304238858438
feature-intervention,AnnSel,fr,-13.648245207173778,1.401672324648772
feature-intervention,AnnSel,de,-14.357081014223871,1.7005035185786301
feature-intervention,AnnSel,es,-13.588021799628942,1.5651994444816733
feature-intervention,AnnSel,zh,-13.362858495670995,2.862342908807106
feature-intervention,AnnSel,ja,-13.784368235930737,1.5286024770981903
feature-intervention,AnnSel,ko,-10.230253118627212,1.672362140012986
