Experiment,Method,Run,mean,stdev
original,AnnSel,en,-4.0125,2.9437460459129765
original,AnnSel,fr,-6.9734375,3.8881902598362656
original,AnnSel,de,0.0,0.0
original,AnnSel,es,-7.00875,3.9574662128384084
original,AnnSel,zh,-12.5325,3.545825098804668
original,AnnSel,ja,-12.95125,3.1755952178093696
original,AnnSel,ko,-14.919375,4.382085667216381
distractor ablation,AnnSel,en,-3.8825,2.9427577597082695
distractor ablation,AnnSel,fr,-6.9734375,3.8881902598362656
distractor ablation,AnnSel,de,0.00875,0.0759098847717516
distractor ablation,AnnSel,es,-7.00875,3.9574662128384084
distractor ablation,AnnSel,zh,-12.50625,3.5532730945345916
distractor ablation,AnnSel,ja,-12.826875,3.1913023839702723
distractor ablation,AnnSel,ko,-14.919375,4.382085667216381
amplification,AnnSel,en,-3.70625,2.8143933021329675
amplification,AnnSel,fr,-2.0646875,2.555686058629163
amplification,AnnSel,de,0.023125,0.1641993026320407
amplification,AnnSel,es,-3.44,2.802499335459783
amplification,AnnSel,zh,-3.619375,3.2525739491706
amplification,AnnSel,ja,-2.8009375,3.3749288449990793
amplification,AnnSel,ko,-14.736875,4.307023266251919
