Experiment,Method,Run,mean,stdev
original,AnnSel,en,-3.8175,2.4353328231672893
original,AnnSel,fr,-8.601875,4.527863851470083
original,AnnSel,de,-7.786875,4.687336655403136
original,AnnSel,es,-8.5821875,4.184673814022595
original,AnnSel,zh,-2.7725,3.143248737574331
original,AnnSel,ja,0.0,0.0
original,AnnSel,ko,-9.410625,2.8452325750163805
distractor ablation,AnnSel,en,-3.8175,2.4353328231672893
distractor ablation,AnnSel,fr,-8.601875,4.527863851470083
distractor ablation,AnnSel,de,-7.786875,4.687336655403136
distractor ablation,AnnSel,es,-8.5821875,4.184673814022595
distractor ablation,AnnSel,zh,-2.7725,3.143248737574331
distractor ablation,AnnSel,ja,0.04375,0.2958973468941381
distractor ablation,AnnSel,ko,-9.410625,2.8452325750163805
amplification,AnnSel,en,-3.8175,2.4353328231672893
amplification,AnnSel,fr,-8.601875,4.527863851470083
amplification,AnnSel,de,-7.786875,4.687336655403136
amplification,AnnSel,es,-8.5821875,4.184673814022595
amplification,AnnSel,zh,-2.7725,3.143248737574331
amplification,AnnSel,ja,0.030625,0.18431533660572255
amplification,AnnSel,ko,-9.410625,2.8452325750163805
feature-intervention,AnnSel,en,-6.6671875,2.9932827226214687
feature-intervention,AnnSel,fr,-12.0140625,4.834578876787256
feature-intervention,AnnSel,de,-11.395,4.674767049778734
feature-intervention,AnnSel,es,-11.6803125,4.335176470546097
feature-intervention,AnnSel,zh,-3.72375,3.9095092968196394
feature-intervention,AnnSel,ja,0.030625,0.18431533660572255
feature-intervention,AnnSel,ko,-12.065625,3.397481415930175
